0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:43:26 +0530] "GET /Ecom_frontend/categoryproductlist?id=201 HTTP/1.1" 200 5339
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:43:26 +0530] "GET /Ecom_frontend/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4293
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:43:26 +0530] "GET /Ecom_frontend/resources/css/ss.css HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:43:26 +0530] "GET /Ecom_frontend/resources/css/datatables.css HTTP/1.1" 200 16205
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:43:26 +0530] "GET /Ecom_frontend/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:43:26 +0530] "GET /Ecom_frontend/resources/css/datatables.min.css HTTP/1.1" 200 14305
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:43:26 +0530] "GET /Ecom_frontend/resources/images/bike-dragonlogo.jpg HTTP/1.1" 200 26065
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:43:26 +0530] "GET /Ecom_frontend/resources/js/jquery.dataTables.min.js HTTP/1.1" 200 81906
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:43:26 +0530] "GET /Ecom_frontend/resources/images/yamaha%20pro.jpg HTTP/1.1" 200 12344
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:43:27 +0530] "GET /Ecom_frontend/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:43:27 +0530] "GET /Ecom_frontend/resources/css/DataTables-1.10.16/images/sort_both.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:43:27 +0530] "GET /Ecom_frontend/resources/css/DataTables-1.10.16/images/sort_asc.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:43:30 +0530] "GET /Ecom_frontend/ HTTP/1.1" 200 9002
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:43:30 +0530] "GET /Ecom_frontend/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4293
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:43:30 +0530] "GET /Ecom_frontend/resources/css/ss.css HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:43:30 +0530] "GET /Ecom_frontend/resources/css/datatables.css HTTP/1.1" 200 16205
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:43:30 +0530] "GET /Ecom_frontend/resources/css/datatables.min.css HTTP/1.1" 200 14305
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:43:30 +0530] "GET /Ecom_frontend/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:43:30 +0530] "GET /Ecom_frontend/resources/images/img1.jpg HTTP/1.1" 200 309429
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:43:30 +0530] "GET /Ecom_frontend/resources/images/PULSER%20NO1.jpg HTTP/1.1" 200 191256
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:43:30 +0530] "GET /Ecom_frontend/resources/images/hondamotogppedrosa12.jpg HTTP/1.1" 200 126052
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:43:30 +0530] "GET /Ecom_frontend/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
